channel_conditions,traffic_requirements,modulation_and_coding_scheme
0.5,low,16-QAM
0.4,medium,16-QAM
0.8,medium,QPSK
0.7,medium,BPSK
0.8,high,QPSK
0.5,medium,64-QAM
0.5024885511465705,high,QPSK
0.7,high,256-QAM
0.9,low,64-QAM
0.6,high,QPSK
0.6,high,BPSK
0.3,medium,BPSK
0.5,medium,BPSK
0.6,medium,256-QAM
0.02,low,16-QAM
0.8,high,16-QAM
0.5,medium,256-QAM
0.2,high,QPSK
0.8,high,QPSK
0.04,medium,64-QAM
0.7,medium,QPSK
0.1,medium,16-QAM
0.6,low,BPSK
0.7,medium,64-QAM
0.1,low,BPSK
0.4,medium,QPSK
0.4,medium,QPSK
0.1,high,16-QAM
0.2,medium,QPSK
0.7,high,256-QAM
